,Unnamed: 0,Job Role,Company,Job_Description,id
904,904,data analyst,anz,"about the role

at anz our purpose is to shape a world where people and communities thrive were making this happen by improving our customers financial wellbeing so they can achieve incredible things  be it buying their home building a business or saving for things big or small

dbos mission is to bring technology and operations closer together through the strategic use of platforms services and data our primary goal is to prioritise ease of doing business and deliver endtoend digital solutions that network our customers across all products and countries

the main customers and stakeholders for dbo include operations who support institutional customers globally local country heads and their leadership teams and also group technology

as an analyst you will work as part of a small team whose mission is generate and distribute actionable data and insights to our internal customers we also focus on driving improvements across finance agility risk and people metrics

role type  permanent

role location rmz ecoworld

what will your day look like

a typical day might consist of some of the following responsibilities

 providing analytics and insights on opportunities for improvement  across areas such as cost and agility  costbenefit analysis and proof of concepts for improvement opportunities  produce and automate business management and performance reporting  document successes so we can scale improvements across our division  operational tasks to keep our domain wellmanaged 


what will you bring

 a minimum of 4 years of experience in data analysisreporting or process analysisimprovement  technical proficiency in data analysis tools primarily in the microsoft suite  excel power query power bi  experience and proficiency with dashboarding in other tools or languages such as python is considered a bonus  analytical and inquisitive mindset  ability to generate data insights and translate into practical business recommendations  experience mapping and improving processes  strong communication and presentation skills  qualification in a relevant area eg data management systems management financial management computer science business analytics or business administration 


so why join us

anz is a place where big things happen as we work together to provide banking and financial services across more than 30 markets with more than 7500 people our bengaluru team is the banks largest technology data  operations centre outside australia in operation for over 33 years the centre is critical in delivering the banks strategy and making an impact for our millions of customers around the world our bengaluru team not only drives the transformation initiatives of the bank it also drives a culture that makes anz a great place to be were proud that people feel they can be themselves at anz and 90 of our people feel they belong

we know our people need different things to be great in their role so we offer a range of flexible working options including hybrid work where the role allows it our people also enjoy a range of benefits including access to health and wellbeing services

we want to continue building a diverse workplace and welcome applications from everyone please talk to us about any adjustments you may require to our recruitment process or the role itself if you are a candidate with a disability or access requirements let us know how we can provide you with additional support

to find out more about working at anz visit httpswwwanzcomcareers you can apply for this role by visiting anz careers and searching for reference number 66521

job posting end date

21052024",904
905,905,data scientist,alp consulting ltd,"must have technical expertise

 strong experience with sql python machine learning and other similar data bases experience with data extraction cleansing and loading into a database using integration tools such as using microsoft tools or python ability to understand a problem and produce technical solutions


major duties

description of the major duties performed in this job

 locates and acquires data from existing data locations as needed to support analytics and reporting organizes and cleans acquired data to remove quality issues and provides relevant information which may include developing samples used to create analytics models or reports performs analysis to address data quality issues and identifies automation opportunities data gaps in order to create standardized reports produces standard and ad hoc reports in form of tableau dashboard or any bi tool performing various steps like data aggregation data visualization and generating business insights from it",905
906,906,machine learning engineer,motive,"who we are

motive empowers the people who run physical operations with tools to make their work safer more productive and more profitable for the first time ever safety operations and finance teams can manage their drivers vehicles equipment and fleet related spend in a single system combined with industry leading ai the motive platform gives you complete visibility and control and significantly reduces manual workloads by automating and simplifying tasks

motive serves more than 120000 customers  from fortune 500 enterprises to small businesses  across a wide range of industries including transportation and logistics construction energy field service manufacturing agriculture food and beverage retail and the public sector

visit gomotivecom to learn more

about the role

as a machine learning engineer you will be a part of a team which develops and deploys cutting edge ai solutions for our product line this role will give you an opportunity to work on developing models using advanced algorithms and machine learning techniques to solve some of the most pressing problems for fleet safety and best in class dashcams as a part of the rd team you will also be responsible for deploying these models while working across cross functional teams

what youll do

develop solutions to complex problems using ai algorithms and machine learning techniquesdevelop machine learning models using classical and deep learning techniquescollaborate with a cross functional team to design and document scalable solutions write secure maintainable code that powers the platform that connects the worlds truckslaunch and support features that will be used by trucking industry and its partnerslead code reviews and help to guide software architecture decisions

what were looking for

26 years of experience in machine learningartificial intelligence a degree in computer science software engineering or a related fieldexceptional problem solving and analytical skillsstrong programming skills in pythonsolid understanding of machine learning models and techniquesexperience with deep learning modelsan affinity for creating software that is extensible performant and easy to readexperience with time series problems good to have

creating a diverse and inclusive workplace is one of motives core values we are an equal opportunity employer and welcome people of different backgrounds experiences abilities and perspectives 

please review our candidate privacy notice here

the applicant must be authorized to receive and access those commodities and technologies controlled under us export administration regulations it is motives policy to require that employees be authorized to receive access to motive products and technology",906
908,908,data engineer,workassist,"job detailsjob type  full timerole  experiencedmin salary  10 lakhmax salary  22 lakhexperience  4 to 10 yrslocality  puneeligibility  btech becompany  leading big four concategory  it software
note this is a requirement for one of the workassist hiring partner
role descriptionthis is a fulltime onsite role located in pune as a data engineer you will be responsible for daytoday tasks related to data engineering including data modeling etl extract transform load data warehousing and data analytics you will be working collaboratively with the team to develop and maintain data systems and ensure data integrity and efficiency
software design scala  spark development automated testing of new and existing components in an agile devops and dynamic environmentpromoting development standards code reviews mentoring knowledge sharingproduction support  troubleshootingimplement the tools and processes handling performance scale availability accuracy and monitoringliaison with bas to ensure that requirements are correctly interpreted and implementedparticipation in regular planning and status meetings input to the development process  through the involvement in sprint reviews and retrospectives input into system architecture and designpeer code reviewsscala development and design using scala 210experience with most of the following technologies apache hadoop scala apache spark spark streaming yarn kafka hive python etl frameworks map reduce sql restful servicessound knowledge on working unixlinux platformhandson experience building data pipelines using hadoop components  hive spark spark sqlexperience with industry standard version control tools git github automated deployment tools ansible  jenkins and requirement management in jiraunderstanding of big data modelling techniques using relational and nonrelational techniquesexperience on debugging the code issues and then publishing the highlighted differences to the development teamarchitects
qualificationsdata engineering and data modeling skillsexperience in etl extract transform load processesdata warehousing knowledgedata analytics expertisestrong problemsolving and analytical skillsproficiency in programming languages such as sql python or javaexperience with data visualization toolsexcellent communication and teamwork skillsbachelors or masters degree in computer science data science or related fieldrelevant certifications in data engineering or related areas
company descriptionworkassist is an online recruitment and employment solution providing a platform in india we connect job seekers with relevant job opportunities and employers with the best talent across various industries with our erecruitment technology we offer a seamless job search experience and work with over 10000 recruiters in sectors such as banking  finance consulting sales  marketing hr it operations and legal
we have quickly adapted to the new normal and continue to assist job seekers in finding the best opportunities and employers in finding top talent from all over the world
to enhance the job seeking experience visit our website and explore the great emerging talents and exciting job opportunities available workassist website
note there are many more opportunities apart from this on the portal depending on the skills you can apply for them as well 
so if you are ready for a new challenge a great work environment and an opportunity to take your career to the next level dont hesitate to apply today we are waiting for you",908
909,909,artificial intelligence engineer aiml,ascendion,"join our dynamic team as an ai engineer at ascendion in bangalore or remote were seeking candidates with a bachelorsmastersphd in computer science data science or related fields along with 6 to 10 years of it industry experience your role will involve expertise in ai ml nlp and deep learning algorithms strong programming skills in python experience with ml frameworks like tensorflow and pytorch and proficiency in data structures algorithms and data visualization familiarity with agile development microservices and serviceoriented architecture is a plus if youre passionate about cuttingedge technology and ready to make an impact apply now
role ai engineerlocation bangaloreremote companys websitelinkedin  httpswwwlinkedincomcompanyascendionmycompany
roles and responsibilities bachelorsmastersphd in computer science information systems data science or equivalent 6 to 10 years overall it industry experience minimum of 5 years of experience on data science domain covering artificial intelligence including deep learning algorithms machine learning andor nlp strong programingcoding experience in scripting languages such as python scala etc python is required experience in deploying debugging and optimizing ml models to handle  scale to big data good knowledge of algorithms  data structures especially for handling largescale data expertise in visualizing and manipulating big datasets for building enterprise grade models good understanding of commonly used ml algorithm like linear regression logistic regression random forest svm etc experience working with generative ai experience working in ml frameworks such as tensorflow pytorch etc experience working with generative ai using chatgpt andor other models deployment using flask and integration using apis good understanding of model development model validation techniquesmetrics and model deployment experienceexposure to designing apis for aiml models and associated deployment methodologies experience with aiml tooling numpy keras scikitlearn tensorflow mllib nltk etc and various standard libraries strong communication and data presentation skills good sql skills with knowledge and experience in working with any of the rdbms databases
good to have familiar with agile development and lean principles exposure to serviceoriented architecture and microservices
about ascendionat ascendion we make and manage software platforms and products that power growth and deliver captivating experiences to consumers and global 2000 employees our engineering cloud dataexperience and talent solution capabilities accelerate transformation for global 2000 clients headquartered in new jersey our workforce delivers solutions from around the globe",909
910,910,data scientistpd,programmingcom,"walkin drive for data scientistcompany mobile programming india pvt ltdexperience  4 years  we require a candidate with 4 years of experience in data science location brigade irv center 4th floor 401 nallurhalli rd nallurhalli whitefield bengaluru karnataka 560066time 1030 am to 500 pmrole data scientist
job descriptionproficiency in python with experience in pandas for data manipulationstrong background in machine learning and deep learning techniquesexperience in integrating with language models such as llm large language models gpt generative pretrained transformer and openaiability to analyze complex datasets extract meaningful insights and develop predictive modelssolid understanding of statistical concepts and methodologiesexperience with data visualization libraries such as matplotlib or seabornstrong problemsolving skills and ability to work with unstructured dataexcellent communication skills and ability to present findings to nontechnical stakeholdersfamiliarity with cloud platforms such as aws or google cloud platform is a plus
technical skillspythonpandasmachine learningdeep learninglanguage models llm gpt openai",910
911,911,associate  business analyst  product platforms,morgan stanley,"company profile

morgan stanley is an industry leader in financial services known for mobilizing capital to help governments corporations institutions and individuals around the world achieve their financial goals

at morgan stanley india we support the firms global businesses with critical presence across institutional securities wealth management and investment management as well as in the firms infrastructure functions of technology operations finance risk management legal and corporate  enterprise services morgan stanley has been rooted in india since 1993 with campuses in both mumbai and bengaluru we empower our multifaceted and talented teams to advance their careers and make a global impact on the business for those who show passion and grit in their work theres ample opportunity to move across the businesses

morgan stanley is an equal opportunities employer we work to provide a supportive and inclusive environment where all individuals can maximize their full potential our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds talents perspectives and experiences our strong commitment to a culture of inclusion is evident through our constant focus on recruiting developing and advancing individuals based on their skills and talents

division profile

the wealth management platforms organization manages digital platforms and experiences across the advisor workplace and direct channels ensuring that our capabilities lead the industry and are delivered and integrated seamlessly

position summary

the platform solutions team is responsible for coordinating activities between the business trading desk sales product legal compliance risk business control and the tech  ops organizations the platform solutions team covers the full suite of capital markets products including equities options fixed income syndicate fx futures etc this position is responsible for the ownership of projects and initiatives involving the fixed income product area

key responsibilities

key responsibilities will include but will not be limited to the following

 support product owners with definition and prioritization of product roadmap release planning and development and communication of business requirements assist with critical user journeys use cases workflows and business processes that align with the product visiongoals and address critical user and control needs support prioritized product backlog identify groom and validate epics and user stories for agile sprints assist with backlog refinement and sprint planning ceremonies to communicate requirements specify acceptance criteria review testing casesscenarios and perform and oversee user acceptance testing as needed analyze define and manage data flowsmodels and diverse datasets to define requirements and expected behavior for morgan stanleys digital planning solutions work closely with the technology team to assure effective communication of requirements and rapid delivery of key product releases collaborate with key stakeholders from business technology ux risk cyber  fraud communications legal  compliance to elicit requirements prepare presentations user demos and status updates gather organize and assimilate internal and external feedback to identify and prioritize product gaps enhancements and new features collaborate with uiux team to develop informationinteraction architecture user flows wireframes and visual design comps team up with program management office to effectively organize and plan product releases define collect and track kpis and productprogram adoption and usage metrics evangelize for adoption

experience

 bachelors degree required masters degree will be a plus

2  3 years of experience as a software business or systems analyst with track record of delivering new innovative web or mobile applications within an agilescrum development process

required skills

 proven track record of delivering successful digital products on time and within scope experience working in an agile development environment excellent communication skills including the ability to present complex information in a clear and concise manner ability to collaborate effectively with crossfunctional teams and stakeholders at all levels of the organization

registration required

 none

eoe mfdv committed to diversity

morgan stanley is an equal opportunities employer we work to provide a supportive and inclusive environment where all individuals can maximize their full potential our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds talents perspectives and experiences our strong commitment to a culture of inclusion is evident through our constant focus on recruiting developing and advancing individuals based on their skills and talents

posting date

may 17 2024

primary location

nonjapan asiaindiaindiamumbai msa

job

wealth management

employment type

full time

job level

associate",911
912,912,software engineer,pattern,"job description

were looking for a dynamic peopleoriented highly analytical person to join our development team in patterns pune office this role will be to develop and maintain patterns ecommerce saas applications

essential duties and responsibilities

work with development teams to ideate software solutionsdesign and implementation of the overall web architecturedevelop and manage wellfunctioning databases and applicationswork with their us counterpart to conduct scrums sprint planning and sprint retrospectivedesign and implementation of continuous integration and deploymentbuild features and applications with a mobile responsive designproblemsolving with alternative approaches and in consultation with stakeholdersworking as part of a team encourages innovation  best practices

required qualifications

3 years of proven work experience in backend development in any of the languages ruby python or nodejs deep expertise in objectoriented development including strong design patterns knowledgegood understanding of the syntax of ruby and its nuancesdegree in computer science statistics or relevant fieldknowledge of multiple frontend languages and libraries eg html css javascript xml jquery and javascript frameworks eg angular react nodejsfamiliarity with databases eg postgresql mysql mssql oracle mongodb web servers eg apache and uiux designthorough understanding of user experience and possibly even product strategyexperience implementing testing platforms and unit testsunderstanding of messaging concepts and technologies active mqrabbitmq etcdevops concepts and understanding of opensource cloud technologiesproficiency with svn or gitappreciation for clean and welldocumented codeexcellent verbal and written communication skillsprecise attention to detailstrong judgement and commitment to ethics

preferred qualifications

1 years experience with ecommerce platformsbasic familiarity with amazoncom walmartcom and other ecommerce marketplacesstrong writing and editing skillsprevious experience working in a highstakes business environmentconducted annual reviews oneonone weekly meetingsparticipate in hiring their own team members

pattern is an equal opportunity employer we celebrate diversity and are committed to creating an inclusive environment for all employees",912
913,913,python developer,squareops technologies,"experience  23 years 
we are looking for a talented and passionate backend engineer to join our growing team you will be responsible for designing developing and maintaining the critical backend systems that power our applications
responsibilitiesdevelop test deploy and maintain highly scalable and secure backend services using pythondesign and implement efficient database solutions including schema design query optimization and data integritycreate and maintain welldocumented clean and maintainable codebuild and integrate robust apis to facilitate communication between different parts of the applicationcollaborate with frontend engineers and other developers to ensure seamless integration and functionalityparticipate in code reviews and provide constructive feedback to improve code qualitystay uptodate with the latest backend technologies and best practices
skills  qualificationsproven experience as a backend engineer with a strong focus on pythonexpertise in relational databases eg mysql postgresql and experience with nosql databases a plusexperience with designing and implementing apis restful preferredsolid understanding of objectoriented programming principles and design patternsfamiliarity with version control systems eg gitexcellent problemsolving and analytical skillsstrong communication and collaboration skillsability to work independently and as part of a team
bonus pointsexperience with cloud platforms eg aws azure gcpexperience with devops practices and tools eg cicd pipelinesexperience with containerization technologies eg dockerexperience with data warehousing or big data technologies a plus
why join usopportunity to work on challenging and impactful projectscollaborative and supportive work environmentcompetitive salary and benefits packagechance to learn and grow your technical skills",913
914,914,software engineer,ge healthcare,"job description summary

as a software engineer in computed tomography ct reconstruction you will be responsible for design and development of algorithms and platforms for nextgeneration ct scanners as part of a global team

ge healthcare is a leading global medical technology and digital solutions innovator our mission is to improve lives in the moments that matter unlock your ambition turn ideas into worldchanging realities and join an organization where every voice makes a difference and every difference builds a healthier world

job description

roles and responsibilities

in this role you will

participate in domain technical and business discussions relative to future architecture direction across the product portfolio or product lineimplement designs based on the specified roadmaps and implementation planscontribute to the development of software and data delivery platforms with reusable components that can be orchestrated together into different methodsdeliver high quality code in accordance with agile principles

educational qualifications

bachelors degree in computer science or in stem majors science technology engineering and mathup to 4 years of professional experience

technical expertise

strong c knowledge from fundamentals through advanced conceptsexposure to design and oops conceptsat least four years experience in handson coding and designexperience with unix  linux based programming

inclusion and diversity

ge healthcare is an equal opportunity employer where inclusion matters employment decisions are made without regard to race color religion national or ethnic origin sex sexual orientation gender identity or expression age disability protected veteran status or other characteristics protected by law

we expect all employees to live and breathe our behaviors to act with humility and build trust lead with transparency deliver with focus and drive ownership  always with unyielding integrity

our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into worldchanging realities our salary and benefits are everything youd expect from an organization with global strength and scale and youll be surrounded by career opportunities in a culture that fosters care collaboration and support

additional information

relocation assistance provided yes",914
915,915,python fullstack developer,tata technologies,"position title python full stack developerexperience 23 yearseducation bebtech itcsetclocation pune
job description 
skillsangularnodejspythonpostgresqlmysqlrabbitmqdocker
job responsibility develop and deploy cutting edge scalable high performing mobiledesktop apps and websitesensure effective user experience and interface design of applicationhandle common database activity such as data table creation writing database queries query optimization etccollaborate with other group of people to tackle challenges
skill set requirementfrontendui developer with handson experience in angular typescript and stronghold on html css  media querysignificant experience with backend technology like python etc are requiredunderstanding of postgresql or mysql underlying storage enginesgood understanding of uiux conceptsshould be able to implement the web apisthe employee should be eager to learn new technologiesadditional plus point if aware about machine learning platform",915
916,916,associate data engineer,blackrock,"r241640

description

about this role

about the team

the doe team is responsible for the data ecosystem within blackrock our goal is to build and maintain a leadingedge data platform that provides highly available consistent data of the highest quality for all users of the platform notably investors operations teams and data scientists we focus on evolving our platform to deliver exponential scale to the firm powering the future growth of aladdin

data pipeline engineers at blackrock get to experience working at one of the most recognized financial companies in the world while being part of a software development team responsible for next generation technologies and solutions our engineers design and build large scale data storage computation and distribution systems they partner with data and analytics experts to deliver high quality analytical and derived data to our consumers

we are looking for data engineers who like to innovate and seek complex problems we recognize that strength comes from diversity and will embrace your unique skills curiosity drive and passion while giving you the opportunity to grow technically and as an individual we are committed to open source and we regularly give our work back to the community engineers looking to work in the areas of orchestration data modeling data pipelines apis storage distribution distributed computation consumption and infrastructure are ideal candidates

responsibilities

data pipeline engineers are expected to be involved from inception of projects understand requirements architect develop deploy and maintain data pipelines etl  elt typically they work in a multidisciplinary squad we follow agile which involves partnering with program and product managers to expand product offering based on business demands design is an iterative process whether for ux services or infrastructure our goal is to drive up user engagement and adoption of the platform while constantly working towards modernizing and improving platform performance and scalabilitydeployment and maintenance require close interaction with various teams this requires maintaining a positive and collaborative working relationship with teams within doe as well as with wider aladdin developer community production support for applications is usually required for issues that cannot be resolved by operations team creative and inventive problemsolving skills for reduced turnaround times are highly valuedpreparing user documentation to maintain both development and operations continuity is integral to the role

ideal candidate would have

at least 5 years experience as a data engineerexperience in sql sybase linux is a mustdata analysis experience including profiling data validation and qc including building test cases for filtering bad or duplicate data identifying trends data optimization techniquesunderstanding conceptual logical and physical data modeling building data model diagramsexperience coding in two of these languages for server sidedata processing is required java python ceexperience using modern data stack spark snowflake big query etc on cloud platforms azure gcp awsexperience building etlelt pipelines for complex data engineering projects using airflow dbt great expectations would be a plusexperience with database modeling normalization techniquesexperience with objectoriented design patternsexperience with dev ops tools like git maven jenkins gitlab ci azure devopsexperience with agile development concepts and related toolsability to trouble shoot and fix performance issues across the codebase and database queriesexcellent written and verbal communication skillsability to operate in a fastpaced environmentstrong interpersonal skills with a cando attitude under challenging circumstancesbabs or equivalent practical experience

skills that would be a plus

perl etl tools informatica talend dbt etcexperience with snowflake or other cloud data warehousing productsexposure with workflow management tools such as airflowexposure to messaging platforms such as kafkaexposure to nosql platforms such as cassandra mongodbbuilding and delivering rest apis

our benefits

to help you stay energized engaged and inspired we offer a wide range of benefits including a strong retirement plan tuition reimbursement comprehensive healthcare support for working parents and flexible time off fto so you can relax recharge and be there for the people you care about

our hybrid work model

blackrocks hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees while supporting flexibility for all employees are currently required to work at least 4 days in the office per week with the flexibility to work from home 1 day a week some business groups may require more time in the office due to their roles and responsibilities we remain focused on increasing the impactful moments that arise when we work together in person  aligned with our commitment to performance and innovation as a new joiner you can count on this hybrid model to accelerate your learning and onboarding experience here at blackrock

about blackrock

at blackrock we are all connected by one mission to help more and more people experience financial wellbeing our clients and the people they serve are saving for retirement paying for their childrens educations buying homes and starting businesses their investments also help to strengthen the global economy support businesses small and large finance infrastructure projects that connect and power cities and facilitate innovations that drive progress

this mission would not be possible without our smartest investment  the one we make in our employees its why were dedicated to creating an environment where our colleagues feel welcomed valued and supported with networks benefits and development opportunities to help them thrive

for additional information on blackrock please visit blackrock  twitter blackrock  linkedin wwwlinkedincomcompanyblackrock

blackrock is proud to be an equal opportunity employer we evaluate qualified applicants without regard to age disability family status gender identity race religion sex sexual orientation and other protected attributes at law",916
917,917,machine learning engineer,ascendion,"company descriptionascendion is a leading provider of aifirst software engineering services specializing in applied ai software engineering cloud data experience design and talent transformation with a commitment to building technology powered by generative ai ascendion accelerates innovation for global 2000 clients headquartered in new jersey ascendion has 30 offices across the us india and mexico and offers remote and hybrid work options the company values an inclusive workforce community service and a vibrant culture
role descriptionthis is a fulltime hybrid role for a machine learning engineer at ascendion based in bangalorehyderabadchennai the machine learning engineer will be responsible for the daytoday tasks of pattern recognition computer science neural networks statistics and algorithms the role also includes collaborating with crossfunctional teams developing and implementing machine learning models and conducting data analysis to build innovative ai solutions
job descriptionmid level 46 years of experience in machine learning engineering or a related fieldstrong proficiency in sql and python for data analysis and model development this is mustexperience with azure cloud services is highly desirablefamiliarity with kubernetes for deploying program code ml engineer need to deploy program code using kubernetes clustersknowledge of kubeflow is a plusexcellent problemsolving skills and ability to work in a fastpaced environmentstrong communication and collaboration skills responsibilitiesdevelop and deploy machine learning modelsutilize sql and python for data manipulation analysis and model developmentcollaborate with crossfunctional teams to understand business requirements and translate them into technical solutionsdeploy program code using kubernetes clustersimplement and maintain scalable infrastructure on azure cloud services",917
918,918,data scientist analyst,alp consulting ltd,"must have technical expertise

 strong experience with sql python machine learning and other similar data bases experience with data extraction cleansing and loading into a database using integration tools such as using microsoft tools or python ability to understand a problem and produce technical solutions


major duties

description of the major duties performed in this job

 locates and acquires data from existing data locations as needed to support analytics and reporting organizes and cleans acquired data to remove quality issues and provides relevant information which may include developing samples used to create analytics models or reports performs analysis to address data quality issues and identifies automation opportunities data gaps in order to create standardized reports produces standard and ad hoc reports in form of tableau dashboard or any bi tool performing various steps like data aggregation data visualization and generating business insights from it",918
919,919,software engineerpython,squarepoint capital,"squarepoint is a global investment management firm that utilizes a diversified portfolio of systematic and quantitative strategies across financial markets that seeks to achieve high quality uncorrelated returns for our clients we have deep expertise in trading technology and operations and attribute our success to rigorous scientific research as a technology and datadriven firm we design and build our own cuttingedge systems from high performance trading platforms to large scale data analysis and compute farms with offices around the globe we emphasize true global collaboration by aligning our investment technology and operations teams functionally around the world
department overview
the data products and services team uses some of the most cuttingedge technologies and cloud offerings to design build and maintain machine learning frameworks data science tools microservices web applications and other data driven products we actively seek to work with the latest technologies to improve our tech stack knowledge and existing processes we collaborate closely with investment teams to deliver on business goals and prioritiesposition overview
work with stakeholders across the business to understand the challenges faced gather requirements and collect documentationbuild and maintain scalable production grade backend applications using python take ownership of the products you and your team work on to ensure continued support and improvements
required qualifications
bachelors degree in computer science engineering or related subject3 to 7 years of professional software engineering experienceproficiency in python and web developmentexperience with relational databases and document storesproven track record of owning or working on endtoend fullstack applicationsexcellent communication skillswillingness to pick up and learn new technologies and frameworks
nice to have
rust is a nice to haveexperience with highly available distributed systemsexperience with javascriptreact js frontendexperience working with large datasets
qualifications
bachelors degree or equivalent experience in computer science or related field from premium institutedevelopment experience with programming languagessql database or relational database skills",919
920,920,director of machine learning,zycus,"job description 

zycus is looking for applicants with a strong background in analytics and data mining web social and big data machine learning pattern recognition natural language processing computational linguistics statistical modelling inferencing information retrieval large scale distributed systems cloud computing econometrics quantitative marketing applied game theory mechanism design operations research optimization human computer interaction and information visualization applicants with a background in other quantitative areas are also encouraged to apply

we are looking for someone who can create and implement ai solutions if you have built a product like ibm watson in the past and not just used watson to build applications this could be the perfect role for you

all successful candidates are expected to dive deep into problem areas of zycus interest and invent technology solutions to not only advance the current products but also to generate new product options that can strategically advantage the organization

roles  responsibilities

act as a technical thought leader in collaboration with the analytics leadership team helping to set the strategy and standards for machine learning and advanced analyticswork with senior leaders from all functions to explore opportunities for using advance analyticsprovide technical leadership coaching and mentoring to talented data scientists and analytics professionalsguide data scientists in the use of advanced statistical machine learning and artificial intelligence methodologiesguide the work of other machine learning team members to provide support and assistance while also ensuring quality


 job description 

experience in mentoring junior team members and guiding them on machine learning and data modelling applicationsstrong communication and data presentation skillsclassification svm decision tree random forest neural networkregression linear polynomial logistic etcclassical optimizationgradient descent newton raphson etcgraph theory network analyticsheuristic optimisation genetic algorithm swarm theorydeep learning lstm convolutional nn recurrent nn


must have

total experience 10 yearsthe ideal candidate must have proven expertise in artificial intelligence including deep learning algorithms machine learning andor nlpthe candidate must also have expertise in programming traditional machine learning algorithms algorithm design  usageprogramming expertise on python or rpreferred experience with large data sets  distributed computing in hadoop ecosystemstrong problemsolving skillsfluency with databases


five reasons why you should join zycus

cloud product company we are a cloud saas company and our products are created by using the latest technologies like ml and ai our ui is in angular js and we are developing our mobile apps using reacta market leader zycus is recognized by gartner worlds leading market research analyst as a leader in procurement software suitesmove between roles we believe that change leads to growth and therefore we allow our employees to shift careers and move to different roles and functions within the organizationget a global exposure you get to work and deal with our global customerscreate an impact zycus gives you the environment to create an impact on the product and transform your ideas into reality even our junior engineers get the opportunity to work on different product features",920
921,921,user research  intern,rapido,"about rapido
we are indias largest biketaxi platform steadily venturing into delivery auto rental and more currently present in over 100 cities we are growing close to 500 yearonyear with steady funding we have changed the concept of intracity travel and made lastmile connectivity affordable to all along with being the 1 choice of 10 million people we have also built a solid captain base of over 5 million registered captains who have bettered their lives with rapido as an employer we provide a lot of ownership to our team members providing multiple avenues for them to grow within the company you will only grow with us with the right balance of ambition fun and transparent work culture we are not an option we are a choice 
job summary
looking for a ux research intern role thats both challenging and fun join our team to collaborate and get mentored by industry leaders in ux research design and productyou will have the opportunity to conduct user research analyze insights and work with crossfunctional teams to connect user needs with business opportunities youll be at the forefront of innovation be part of a dynamic team culture grow your skills make a real impact on the future of product design and have some fun while doing ityou will fit well in this dynamic team if you have an entrepreneurial mindset with a sense of proactiveness passion and commitment to not just generate empathy by sharing user insights but make sure that your work generates business impact

job responsibilities
contribute to setting up a ux research program that is aligned with business goals and objectives applying systems thinking to agile project planning for iterative and efficient deliveries that can generate business valuefacilitate collaborations and interactions between crossfunctional teams product design tech operations and marketing to ensure a usercentered approach to product developmentplanning and executing both generative and evaluative studies alone and in teamsredefine problem statements and generate hypotheses based on quant data and stakeholder discussionsexperiment with a wide variety of research methodologies including secondary and primary to identify unarticulated user insightseffective storytelling to help cross functional team members and business stakeholders empathize with end users and step into their shoeseffective and tailored communication for quick processing of user insights by varied levels of stakeholderstrack the progress of ones user insights in terms of what problems it can help solve and what business metrics it can help move positively to execute this successfully collaborate with stakeholders on ideation prototyping testing to make your insights and recommendations actionable and create business impactidentify opportunities to create and maintain org level artifacts like dynamic user journey maps personas system maps scenarios task analysis etc that can be used across teamsdeveloping enabling and evangelizing best research practices across the organizationmonitoring the pulse of gigeconomy and the mobilitytech industry
pls share the resume to bhartijaiswalrapidobike along the portfolio

job requirements
a background in design psychology tech and experience in conducting both generative and evaluative studies alone and in teamsexperience with working on quality research projects with a diverse range of clients and in different industriessectors onground experience in planning executing and analyzing research will be highly appreciatedunderstanding of humancentered design hcd and design thinking approach to innovation and problem solving ability to think and analyze at a systems level considering the interrelated components of the system their impact on users product and the businessunderstanding of the applications and shortcoming of different research methods including when and how to apply them during each phase of the product life cyclehighly analytical with a nag to dive deeper into the nuances and identify otherwise unspotted insightsmethodical meticulous and organized in defining planning and executing end to end user studieseffective communication skills including written verbal and presentation to manage varied levels of stakeholders on projectentrepreneurial and comfortable with ambiguity and taking initiativesknowledge of ux best practices and industry trends with a passion for learning new things and staying updated with the latest ux research methodologies and tools
whats inside the ux research team in rapidoour team is involved through every step  from requirement gathering to implementationthe team comprises a bunch of superheroes with different superpowers  our researchers come from tech psychology and design backgrounds its great to frequently collaborate and learn new superhero movesresearchers not confined to defined role but working across teams design product tech ops and marketing for converting insights into actionsopenness and collaborative learning environment with opportunities to interact with anyone and everyone including senior leadership we use the edipt framework on projects empathize define ideate prototype and testaccess to cuttingedge tools and resources to conduct your researchcross team collaboration through methods like coplanning coanalysis and cocreationexcited to solve challenges in the mobility space join rapido for an exciting journey of  chase bigger milestones too",921
